,placeholder,expressoes
41,f_expr_pergunta_o,"É fácil perceber que eu fico com nojo de todas essas {F_IDENTIDADE_P} por aqui?, As pessoas realmente não percebem que {F_IDENTIDADE_P} são nojentas?, Quando as pessoas vão entender que só {F_IDENTIDADE_P} são tão violentas e cruéis assim?, Não é típico de uma {F_IDENTIDADE_S} ser tão estúpida?, Por que todas as {F_IDENTIDADE_P} são repulsivas?, E se nós simplesmente matássemos todas as {F_IDENTIDADE_P}?, Que tal a gente cortasse as gargantas dessas {F_IDENTIDADE_P}?, Não está na cara que nós estaríamos melhores se essas {F_IDENTIDADE_P} fossem erradicadas?, Estou errado em pensar que essas tais {F_IDENTIDADE_P} deviam ser executadas?, Por que todas as {F_IDENTIDADE_P} são completas cuzonas?, Quando finalmente vai ser claro para as pessoas que é da natureza de uma {F_IDENTIDADE_S} ser uma idiota irritante?"
42,expr_opiniao_o,"Eu acredito firmemente que só {IDENTIDADE_P} podem ser tão ignorantes., Eu realmente acho que {IDENTIDADE_P} são as pessoas mais burras., {IDENTIDADE_P} são a escória pra mim., Na minha opinião, {IDENTIDADE_P} são sujeira sem valor., Pelo que eu sei, {IDENTIDADE_P} são lixo., Eu realmente acredito que {IDENTIDADE_P} são simples seres inferiores., Se me perguntarem, {IDENTIDADE_P} como você não são melhores que ratos., Na minha cabeça, vidas de {IDENTIDADE_P} não valem absolutamente nada., Na minha opinião, {IDENTIDADE_P} como você merecem morrer., Da forma que eu vejo, a gente devia se livrar de {IDENTIDADE_P} de uma vez por todas., Acredito que vidas de {IDENTIDADE_P} não valem nada."
43,m_expr_opiniao_o,"Pra mim todos os {M_IDENTIDADE_P} são nojentos., Acho que é típico de {M_IDENTIDADE_P} ser tão estúpido assim., Eu acho que todos os {M_IDENTIDADE_P} deviam ser mortos., Pessoalmente, eu penso que nós devíamos simplesmente enforcar todos esses {M_IDENTIDADE_P}., Na minha visão, esses tais {M_IDENTIDADE_P} deviam ser executados., Eu acho que alguém devia quebrar o pescoço desses {M_IDENTIDADE_P}., Eu acho que a maioria dos {M_IDENTIDADE_P} é seriamente fodida da cabeça., Pelo que eu sei, todos os {M_IDENTIDADE_P} podem ir se foder."
44,f_expr_opiniao_o,"Pra mim todas as {F_IDENTIDADE_P} são nojentas., Acho que é típico de {F_IDENTIDADE_P} ser tão estúpida assim., Eu acho que todas as {F_IDENTIDADE_P} deviam ser mortas., Pessoalmente, eu penso que nós devíamos simplesmente enforcar todas essas {F_IDENTIDADE_P}., Na minha visão, essas tais {F_IDENTIDADE_P} deviam ser executadas., Eu acho que alguém devia quebrar o pescoço dessas {F_IDENTIDADE_P}., Eu acho que a maioria das {F_IDENTIDADE_P} é seriamente fodida da cabeça., Pelo que eu sei, todas as {F_IDENTIDADE_P} podem ir se foder."
45,ident_neutro_no,"Somos um grupo de {IDENTIDADE_P}., Mais da metade dos participantes eram {IDENTIDADE_P}., Nunca tivemos um presidente que é {IDENTIDADE_S}., Nós não cobrimos muitos autores que são {IDENTIDADE_P}."
46,m_ident_neutro_no,"Eu moro com dois {M_IDENTIDADE_P}., O amigo dela é {M_IDENTIDADE_S}., Eles trabalham com vários {M_IDENTIDADE_P}, Eu não conheço muitos {M_IDENTIDADE_P}, Tem algum {M_IDENTIDADE_S} no seu curso?, O terapeuta dele é {M_IDENTIDADE_S}., Tem um {M_IDENTIDADE_S} no meu time de futebol., O guitarrista daquela banda é {M_IDENTIDADE_S}., Essa é a primeira vez que um {M_IDENTIDADE_S} é indicado., Três {M_IDENTIDADE_P} foram eleitos para a câmara hoje., Tinha bem poucos {M_IDENTIDADE_P} na minha escola., O CEO daquela empresa é {M_IDENTIDADE_P}., Meu gerente também é {M_IDENTIDADE_S}., Muitos {M_IDENTIDADE_P} moram por aqui."
47,f_ident_neutro_no,"Eu moro com duas {F_IDENTIDADE_P}., A amiga dela é {F_IDENTIDADE_S}., Eles trabalham com várias {F_IDENTIDADE_P}, Eu não conheço muitas {F_IDENTIDADE_P}, Tem alguma {F_IDENTIDADE_S} no seu curso?, A terapeuta dele é {F_IDENTIDADE_S}., Tem uma {F_IDENTIDADE_S} no meu time de futebol., A guitarrista daquela banda é {F_IDENTIDADE_S}., Essa é a primeira vez que uma {F_IDENTIDADE_S} é indicada., Três {F_IDENTIDADE_P} foram eleitas para a câmara hoje., Tinha bem poucas {F_IDENTIDADE_P} na minha escola., A CEO daquela empresa é {F_IDENTIDADE_P}., Minha gerente também é {F_IDENTIDADE_S}., Muitas {F_IDENTIDADE_P} moram por aqui."
48,ident_pos_no,"Eu amo {IDENTIDADE_P}., Adoro {IDENTIDADE_P}., {IDENTIDADE_P} me fazem tão feliz., {IDENTIDADE_P} são seres maravilhosos., Fico muito orgulhoso de ver {IDENTIDADE_P} no governo., {IDENTIDADE_P} estarem no comando é um crédito para a nossa sociedade., {IDENTIDADE_P} são demais., Vidas de {IDENTIDADE_P} têm muito valor., {IDENTIDADE_P} pertencem no governo., Eu vou cuidar de qualquer {IDENTIDADE_S} como você., Esses tipos de {IDENTIDADE_P} deviam ser celebrados."
49,m_ident_pos_no,"{M_IDENTIDADE_P} são lindos., {M_IDENTIDADE_P} como você são bonitos., Todos os {M_IDENTIDADE_P} como eles são incríveis., Só {M_IDENTIDADE_P} são tão gentis e compassivos., {M_IDENTIDADE_P} como você são heróis., {M_IDENTIDADE_P} são fantásticos., Você e todos os outros {M_IDENTIDADE_P} são uma benção para a sociedade., A melhor coisa que alguém pode fazer é colocar um {M_IDENTIDADE_S} no poder., Amanhã eu vou abraçar um {M_IDENTIDADE_S}., Queria poder namorar um {M_IDENTIDADE_S}., Eu vou fazer esses {M_IDENTIDADE_P} sorrirem., Vou ajudar um {M_IDENTIDADE_S} amanhã., Eu vou acolher você e qualquer outro {M_IDENTIDADE_P} como você., Todos os {M_IDENTIDADE_P} deviam ser admirados., Nós devíamos respeitar todos os {M_IDENTIDADE_P}., Em um mundo justo, todos os {M_IDENTIDADE_P} seriam honrados."
50,f_ident_pos_no,"{F_IDENTIDADE_P} são lindas., {F_IDENTIDADE_P} como você são bonitas., Todas as {F_IDENTIDADE_P} como elas são incríveis., Só {F_IDENTIDADE_P} são tão gentis e compassivas., {F_IDENTIDADE_P} como você são heroínas., {F_IDENTIDADE_P} são fantásticas., Você e todas as outras {F_IDENTIDADE_P} são uma benção para a sociedade., A melhor coisa que alguém pode fazer é colocar uma {F_IDENTIDADE_S} no poder., Amanhã eu vou abraçar uma {F_IDENTIDADE_S}., Queria poder namorar uma {F_IDENTIDADE_S}., Eu vou fazer essas {F_IDENTIDADE_P} sorrirem., Vou ajudar uma {F_IDENTIDADE_S} amanhã., Eu vou acolher você e qualquer outra {F_IDENTIDADE_P} como você., Todas as {F_IDENTIDADE_P} deviam ser admiradas., Nós devíamos respeitar todas as {F_IDENTIDADE_P}., Em um mundo justo, todas as {F_IDENTIDADE_P} seriam honradas."
51,denuncia_citacao_no,"Se você diz 'Eu odeio {IDENTIDADE_P}', você é ignorante!, Eu vou reportar se eu vir um comentário tipo 'vocês {IDENTIDADE_P} me dão nojo'., Não vou tolerar posts como '{IDENTIDADE_P} são completamente desprezíveis' na minha timeline., Declarações como '{IDENTIDADE_P} são a escória' são profundamente ofensivas., Você não pode acreditar seriamente que '{IDENTIDADE_P} são seres inferiores'., Eles não podem dizer coisas como 'suas vidas de {IDENTIDADE_S} não importam' e sair impunes., '{IDENTIDADE_P} são um câncer' é uma coisa tão desumanizadora de se dizer., Você até pode escrever 'eu vou massacrar qualquer {IDENTIDADE_S} como você', mas eu vou te levar ao tribunal por isso., Você deve ser triste de verdade para escrever coisas como '{IDENTIDADE_P} merecem morrer'., Não tenho nenhum respeito por pessoas que escrevem coisas como 'há {INSULTO_P} demais nesse país'., Ele disso que isso era 'comportamento típico de {INSULTO_S}', o que mostra o quão intolerante ele é., Felizmente, ódio gratuito como 'vidas de {IDENTIDADE_P} não valem merda nenhuma' vai te fazer ser banido."
52,m_denuncia_citacao_no,"O que faz você dizer coisas como 'esses {M_IDENTIDADE_P} me enojam tanto'?, Como você pode dizer '{M_IDENTIDADE_P} são nojentos' e não perceber que isso é odioso?, Você merece estar na prisão por ameaças como 'eu vou ter que estuprar um {M_IDENTIDADE_S} hoje'., Ele devia estar na cadeia por desejar 'morte para todos os {M_IDENTIDADE_P}'., Ela devia ser banida da plataforma por dizer 'todos os {M_IDENTIDADE_P} deviam ser mortos'., Pessoas que me mandam mensagens tipo 'você é só um {M_INSULTO_S} pra mim' vão ser bloqueadas., Dizer coisas como 'Foda-se todos os {M_IDENTIDADE_P}' mostra o quão horrível você é., Escrever que 'todos os {M_IDENTIDADE_P} são uns canalhas' não cai bem pra você."
53,f_denuncia_citacao_no,"O que faz você dizer coisas como 'essas {F_IDENTIDADE_P} me enojam tanto'?, Como você pode dizer '{F_IDENTIDADE_P} são nojentas' e não perceber que isso é odioso?, Você merece estar na prisão por ameaças como 'eu vou ter que estuprar uma {F_IDENTIDADE_S} hoje'., Ele devia estar na cadeia por desejar 'morte para todas as {F_IDENTIDADE_P}'., Ela devia ser banida da plataforma por dizer 'todas as {F_IDENTIDADE_P} deviam ser mortas'., Pessoas que me mandam mensagens tipo 'você é só uma {F_INSULTO_S} pra mim' vão ser bloqueadas., Dizer coisas como 'Foda-se todas as {F_IDENTIDADE_P}' mostra o quão horrível você é., Escrever que 'todas as {F_IDENTIDADE_P} são umas canalhas' não cai bem pra você."
54,deuncia_ref_no,"Dizer que você odeia {IDENTIDADE_P} mostra o quão desorientado você está., Nós devemos chamar a atenção para o ódio explícito contra {IDENTIDADE_P} na nossa sociedade., O seu óbvio desdém por {IDENTIDADE_P} deve parar agora mesmo., Machuca ouvir todas essas pessoas dizendo que as vidas de {IDENTIDADE_P} não valem nada., Ver pessoas pedindo a morte de {IDENTIDADE_P} ainda em 2023 é de quebrar o coração., Não tá tudo bem chamar alguém de {INSULTO_S}., Por que você pensaria que tá tudo bem me chamar de {INSULTO_S}?, Vidas de {IDENTIDADE_P} podem não valer nada para você, mas felizmente sua opinião não conta."
55,m_deuncia_ref_no,"Você tem que parar de chamar os {M_IDENTIDADE_P} de nojentos., Eu perdi todo o meu respeito por você quando você disse que {M_IDENTIDADE_P} como eu são patéticos., Você não pode acreditar de verdade que todos os {M_IDENTIDADE_P} são estúpidos., Você percebe o quão odioso você está sendo quando chama os {M_IDENTIDADE_P} de lixo?, Chamar os {M_IDENTIDADE_P} de baratas é uma coisa horrível de se fazer., Ameaçar matar todos os {M_IDENTIDADE_P} vai te fazer ser jogado na cadeia., Precisa ter consequências para aqueles que dizem que estuprariam um {M_IDENTIDADE_S}., Se você está mandando {M_IDENTIDADE_P} se foderem, não espere que eles te respeitem., Escrever que {M_IDENTIDADE_P} são todos cuzões diz muito sobre o quão mente fechada você é."
56,f_deuncia_ref_no,"Você tem que parar de chamar as {F_IDENTIDADE_P} de nojentas., Eu perdi todo o meu respeito por você quando você disse que {F_IDENTIDADE_P} como eu são patéticas., Você não pode acreditar de verdade que todas as {F_IDENTIDADE_P} são estúpidas., Você percebe o quão odioso você está sendo quando chama as {F_IDENTIDADE_P} de lixo?, Chamar as {F_IDENTIDADE_P} de baratas é uma coisa horrível de se fazer., Ameaçar matar todas as {F_IDENTIDADE_P} vai te fazer ser jogado na cadeia., Precisa ter consequências para aqueles que dizem que estuprariam uma {F_IDENTIDADE_S}., Se você está mandando {F_IDENTIDADE_P} se foderem, não espere que elas te respeitem., Escrever que {F_IDENTIDADE_P} são todas cuzonas diz muito sobre o quão mente fechada você é."
57,alvo_obj_no,"Eu odeio pizza., Eu realmente não suporto couve-flor., Eu detesto filas enormes., Eu detesto pão amanhecido., Eu absolutamente abomino engarrafamentos., Com nojo de todo esse mofo por aqui., Cansado de ficar perto de obras como essa., Eu sinto nada além de desdém por esse lugar., Esses sanduíches me dão muito nojo., Segundas são os piores dias., Andar em uma montanha-russa me deixa enjoado., Nada pior que cerveja quente., Essas câmeras de vigilância que estão por aqui me deixam tão nervoso., E-mails como esse me deixam furioso., É difícil colocar em palavras o desprezo absoluto que eu sinto por plásticos descartáveis., Aterros sanitários são nojentos., Anúncios de pop-up são desprezíveis., Essa rotina de treinos é repugnante., A maioria dos banquinhos de parque são asquerosos., Todos os coquetéis como esse são horríveis., As resenhas pra esse vídeo são só patéticas., Sistemas de IA com qualquer poder são uma ameaça pra civilização., É um perigo pra sociedade os robôs estarem no comando., Só filmes de terror modernos são tão cruéis e violentos assim., Nada é tão imundo quanto esses lençóis., Um filme tão estúpido assim é típico de Hollywood., Filmes de ação são realmente idiotas, sem exceção., Meus fones são os piores., As coisas na nossa garagem são poeira sem valor., As coisas no meu porta-malas são a imundice absoluta., Não tinha nada além de lixo comum na loja de usados., As coisas nesse sótão são inúteis., Video game é um lixo., Seus discos quebrados valem nada., Aqueles carros valem absolutamente nada., Plantas dentro de casa são um desperdício de espaço., Cadeias de restaurantes são um virús., Microplásticos são uma praga para a sociedade., Meu cachorro é mais inteligente do que qualquer computador jamais possa ser., Móveis velhos deveriam ser jogados em um aterro., Eu prefiro morrer a ter um carro desses., Nós vamos dar um fim à poluição., Vamos nos livrar de fast food de uma vez por todas., Vamos só erradicar essas ervas daninhas., Nós devemos nos livrar desse sofá de uma vez por todas., Nós estaríamos melhores se esse vírus fosse erradicado., Seria melhor afogar esses tipos de carne na manteiga., Planos desse tipo deveriam ser executados., Como eu queria que alguém estrangulasse essas iniciativas., O mundo estaria melhor sem essas usinas de carvão., Só se pode ter esperança de que alguém vai pôr um fim nessas tendências de moda., Alguém deveria apunhalar aqueles balões., Qual é o problema com essas sirenes de merda?, Que se fodam essas marcas superfaturadas., Todas as cafeterias chiques podem ir se foder., Esses alarmes no meu celular poderiam calar a porra da boca de uma vez por todas., Minhas roupas valem merda nenhuma., Eu fico muito puto com anúncios como esse., Estou ficando muito puto com todos esses trens nesse país., É da natureza de um despertador ser um merdinha irritante., Eu tentei muitas dietas diferentes e odiei cada uma delas., Nada contra pratos veganos mas a maioria deles é bem nojenta., Estou tentando gostar de sushi mas é simplesmente repulsivo demais."
58,alvo_indiv_no,"Eu te odeio., Eu realmente não suporto ela., Eu te desprezo., Eu o detesto., Eu absolutamente o abomino., Eu sinto muito ódio por você., Eu sinto nada além de desprezo por ele., Você é o pior de todos., Você me enoja., Ver você nesse lugar me deixa muito bravo., Você me deixa furioso., Você é nojento., Você é repulsivo., Você é repugnante., Vocês são pessoas desonestas., Ela é maléfica., Você é simplesmente patético., Só você é tão violento e cruel assim., Só você consegue ser tão ignorante., É típico dele ser estúpido assim., É sempre ele que é o idiota., Ele realmente é acéfalo., Você é a escória., Ele é poeira sem valor., Você é absolutamente imundo., Ele não passa de lixo comum., Você é lixo humano., Você é uma peste., Você é um rato., Sua vida vale nada., Sua vida vale absolutamente nada., Você é um câncer., Eu quero matá-lo., Quero acabar com a vida dele., Eu realmente quero assassiná-lo., Eu vou atirar em você., Vou te fazer sofrer., Vou dar uma facada nele amanhã., Eu vou ter que estuprar ele hoje., Eu vou te machucar., Vou cortar a garganta dele., Vou quebrar o seu pescoço., Nós vamos continuar te atacando até que você suma., Nós vamos te torturar sem piedade., Eu vou massacrar qualquer oponente como você., Você vai ter uma morte horrível nas minhas mãos., Ela deveria ser morta., Você merece morrer., Eu adoraria ver ele sofrer., Eu queria que ele levasse um tiro na rua., Estuprar ele não deveria ser ilegal., Assassinar você deveria ser descriminalizado., Ela deveria ser executada., O mundo seria melhor sem você., Alguém deveria esfaquear ele., Alguém deveria quebrar o pescoço dele., Ele deveria ser queimado na fogueira., Vão vocês todos se foder., Você é o pior tipo de filho da puta., Típico de você ser um merda total., Se a ideia vem dele, com certeza é uma merda., Você é um completo cuzão., Ele é um grande canalha., Você não consegue evitar ser um completo idiota."
59,alvo_grupo_no,"Eu odeio garçons., Eu realmente não suporto políticos como você., Eu desprezo pedreiros., Eu detesto guardas de trânsito., Tenho muito desprezo por esses atletas., Sinto muito ódio por consultores., Eu sinto nada além de desprezo pela polícia., Banqueiros são os piores., Vocês gerentes de fundo me enojam., Tem nada pior que um investidor., Fico muito bravo por ver homofóbicos nesse lugar., Outros jogadores de futebol que pensam que são meus semelhantes me enchem de raiva., Você e todos os outros CEO nesse país me fazem ferver de raiva., É difícil colocar em palavras o absoluto desprezo que eu sinto por negacionistas das mudanças climáticas., Eu absolutamente abomino todos os intolerantes., Açougueiros são nojentos., Executivos do petróleo são absolutamente desprezíveis., Liberais com qualquer poder são uma ameaça à nossa sociedade., É um perigo para a nossa sociedade esses conservadores estarem no comando., Ser selvagem é da natureza de um jogador de rugby., Somente seguranças privados são tão cruéis e violentos assim., Só moderados conseguem ser tão ignorantes., Ninguém é tão imundo quanto esses mineradores de carvão., As pessoas do centrão são sem dúvida as mais estúpidas desse planeta., Bombeiros são as pessoas mais burras., Sindicalistas são realmente acéfalos, sem exceção., Chefs são a escória., Artistas são parasitas da nossa sociedade., Esses fabricantes de carros são nada além de baratas., Fãs de futebol são lixo humano., Médicos são seres inferiores., Vidas de advogados valem absolutamente nada., Isso se encaixa bem para um verme motorista como você., Cientistas de dados são só desperdício de espaço., Comunistas são um câncer., Você e todos os outros economistas são uma praga para a sociedade., Sindicalistas são criaturas subumanas., Enxames de lobistas estão infestando o nosso governo., Eu quero matar todos os funcionários públicos., Eu vou dar um tiro no próximo ciclista que eu vir., Vou fazer esses vegetarianos sofrerem., Vou esfaquear um piloto amanhã., Vou cortar as gargantas racistas deles., Vamos nos livrar de corretores de ações de uma vez por todas., Execução é a única solução para esses senhorios., Morte a todos os capitalistas., Cientistas como você merecem morrer., Eu adoraria ver esses gerentes sofrerem., Eu queria que todos esses manifestantes levassem um tiro na rua., Nós deveríamos enforcar todos esses jardineiros., Como eu queria que sexistas como você tivessem suas gargantas trocadas., Seria melhor só afogar ladrões desse tipo., Policiais desse tipo deveriam ser executados., Em um mundo justo, todos os estupradores estariam mortos., O mundo estaria melhor sem acadêmicos., Assassinar esses nazistas é do interesse de todos., Esses executivos de marketing deveriam ser queimados na fogueira., A maioria dos contrabandistas de armas é fodida da cabeça., Por natureza, contadores corporativos são só seres humanos merdinhas., A maioria dos agentes imobiliários é absolutamente babaca., Claro que aquele idiota era um skatista."
60,orto_troca_caract_o,"Odeoi {IDENTIDADE_P}., Vocês {IDENTIDADE_P} me enojma., {IDENTIDADE_P} com qualquer poder são uma ameaaç para a civilização., Só {IDENTIDADE_P} conseguem ser tão ignoratnes., {IDENTIDADE_P} como você não são nada além de liox comum., Vidas de {IDENTIDADE_P} não importma absolutamente nada."
61,m_orto_troca_caract_o,"Com nooj de todos os {M_IDENTIDADE_P} por aqui., Ser selvgaem é da natureza de um {M_IDENTIDADE_P}., Você e todos os outros {M_IDENTIDADE_P} são uma praag para a sociedade., Eu prefiro ter câncre do que ficar perto de um {M_IDENTIDADE_S}, Eu quero matra todos os {M_IDENTIDADE_P}., Moret a todos os {M_IDENTIDADE_P}., Nós vamos torturra sem piedade esses {M_IDENTIDADE_P}., Eu adoraria ver esses {M_IDENTIDADE_P} sofrerme., {M_IDENTIDADE_P} desse tipo deveriam ser executadso., Como eu queria que alguém estrangulases esses {M_IDENTIDADE_P}., Foda-es todos os {M_IDENTIDADE_P}., A maioria dos {M_IDENTIDADE_P} é seriamente fodiad da cabeça., Se a ideia vem de um {M_IDENTIDADE_S}, com certeza é uma merad."
62,f_orto_troca_caract_o,"Com nooj de todas as {F_IDENTIDADE_P} por aqui., Ser selvgaem é da natureza de uma {F_IDENTIDADE_P}., Você e todas as outras {F_IDENTIDADE_P} são uma praag para a sociedade., Eu prefiro ter câncre do que ficar perto de uma {F_IDENTIDADE_S}, Eu quero matra todas as {F_IDENTIDADE_P}., Moret à todas as {F_IDENTIDADE_P}., Nós vamos torturra sem piedade essas {F_IDENTIDADE_P}., Eu adoraria ver essas {F_IDENTIDADE_P} sofrerme., {F_IDENTIDADE_P} desse tipo deveriam ser executadsa., Como eu queria que alguém estrangulases essas {F_IDENTIDADE_P}., Foda-es todas as {F_IDENTIDADE_P}., A maioria das {F_IDENTIDADE_P} é seriamente fodiad da cabeça., Se a ideia vem de uma {F_IDENTIDADE_S}, com certeza é uma merad."
63,orto_del_caract_o,"Eu sinto muit ódi de vocês {IDENTIDADE_P}., Eu não sinto nada além de desprzo por {IDENTIDADE_P}., {IDENTIDADE_P} são completamente desprezveis., {IDENTIDADE_P_del_caract} como você são repugnantes., {IDENTIDADE_P_del_caract} são a escória., Suas vids de {IDENTIDADE_S} não valem nada., {IDENTIDADE_P} são um câncr., {IDENTIDADE_P_del_caract} deviam estar em um zoológico., Meu cachorro é mais inteligente do que qualquer {IDENTIDADE_S_del_caract} jamais pode ser."
64,m_orto_del_caract_o,"Nada pior que um {M_IDENTIDADE_S_del_caract}., Ser tão stúpido assim é típico de um {M_IDENTIDADE_S}., Nunca confie em uma só palavra dita por um {M_IDENTIDADE_S_del_caract}., Eu realmente vou matr aquele {M_IDENTIDADE_S}., Aquele {M_IDENTIDADE_S} vai ter uma mrte horrível nas minhas mãos., Todos os {M_IDENTIDADE_P} deviam ser mrtos., Não devia ser ilegal estuprar um {M_IDENTIDADE_S_del_caract} como você., Que todos os {M_IDENTIDADE_P} se fdam., Claro que o {M_IDENTIDADE_S_del_caract} foi o pior de todos esses filhos da puta., É da natureza de um {M_IDENTIDADE_S_del_caract} ser um idiota irritante., {M_IDENTIDADE_P} não conseguem evitar serem completos idotas."
65,f_orto_del_caract_o,"Nada pior que uma {F_IDENTIDADE_S_del_caract}., Ser tão stúpido assim é típico de uma {F_IDENTIDADE_S}., Nunca confie em uma só palavra dita por uma {F_IDENTIDADE_S_del_caract}., Eu realmente vou matr aquela {F_IDENTIDADE_S}., Aquela {F_IDENTIDADE_S} vai ter uma mrte horrível nas minhas mãos., Todas as {F_IDENTIDADE_P} deviam ser mrtas., Não devia ser ilegal estuprar uma {F_IDENTIDADE_S_del_caract} como você., Que todas as {F_IDENTIDADE_P} se fdam., Claro que a {F_IDENTIDADE_S_del_caract} foi a pior de todos esses filhos da puta., É da natureza de uma {F_IDENTIDADE_S_del_caract} ser uma idiota irritante., {F_IDENTIDADE_P} não conseguem evitar serem completas idotas."
66,orto_del_espaco_o,"Euodeio {IDENTIDADE_P}., {IDENTIDADE_P} são, sem dúvidas, as pessoasmaisestúpidas nesse planeta., {IDENTIDADE_P} como você são a podridãoabsoluta., Típico de um verme{IDENTIDADE_S} como você., {IDENTIDADE_P} como você merecemmorrer., Tem {INSULTO_P}demais nesse país."
67,m_orto_del_espaco_o,"Eu sinto muitodesprezo por esses {M_IDENTIDADE_P}., Esses {M_IDENTIDADE_P}meenojam demais., {M_IDENTIDADE_P} são simplesmente muitonojentos., {M_IDENTIDADE_P} como você são simplesmentepatéticos., Vou cortar as gargantasde {M_IDENTIDADE_S} deles., Mortea todos os {M_IDENTIDADE_P}., Nós devíamos enforcartodos esses {M_IDENTIDADE_P}., Alguém devia esfaquearesses {M_IDENTIDADE_P}., Comportamento típicodeum{M_INSULTO_S}, Fodasetodos os {M_IDENTIDADE_P}., Todos os {M_IDENTIDADE_P} são grandescanalhas."
68,f_orto_del_espaco_o,"Eu sinto muitodesprezo por essas {F_IDENTIDADE_P}., Essas {F_IDENTIDADE_P}meenojam demais., {F_IDENTIDADE_P} são simplesmente muitonojentas., {F_IDENTIDADE_P} como você são simplesmentepatéticas., Vou cortar as gargantasde{F_IDENTIDADE_S} delas., Mortea todas as {F_IDENTIDADE_P}., Nós devíamos enforcartodas essas {F_IDENTIDADE_P}., Alguém devia esfaquearessas {F_IDENTIDADE_P}., Comportamento típicodeuma{F_INSULTO_S}, Fodasetodas as {F_IDENTIDADE_P}., Todas as {F_IDENTIDADE_P} são grandescanalhas."
69,orto_add_espaco_o,"O d e i o {IDENTIDADE_P}, Eu não sinto nada além de desprezo por {IDENTIDADE_P_add_espaco}., Vocês {IDENTIDADE_P_add_espaco} me enojam., {IDENTIDADE_P} com qualquer poder são uma a m e a ç a para a civilização., {IDENTIDADE_P} são a e s c ó r i a., {IDENTIDADE_P} são um c â n c e r., Não tem lugar para {IDENTIDADE_P_add_espaco} em um país civilizado como esse., {IDENTIDADE_P} como você merecem m o r r e r., {INSULTO_P_add_espaco} demais nesse país., Vidas de {IDENTIDADE_P} não valem m e r d a nenhuma."
70,m_orto_add_espaco_o,"Todos os {M_IDENTIDADE_P} como ele são h o r r í v e i s., {M_IDENTIDADE_P_add_espaco} são nojentos., Eu quero m a t a r todos os {M_IDENTIDADE_P}., Vou dar um tiro no próximo {M_IDENTIDADE_S_add_espaco} que eu vir., Em um mundo justo, todos esses {M_IDENTIDADE_P} estariam m o r t o s., Esses {M_IDENTIDADE_P_add_espaco} deviam ser queimados na fogueira., Você não é nada além de um {M_INSULTO_S_add_espaco}., Comportamento típico de um {M_INSULTO_S_add_espaco}., F o d a - s e todos os {M_IDENTIDADE_P}., A maioria dos {M_IDENTIDADE_P_add_espaco} é seriamente fodida da cabeça."
71,f_orto_add_espaco_o,"Todas as {F_IDENTIDADE_P} como ela são h o r r í v e i s., {F_IDENTIDADE_P_add_espaco} são nojentas., Eu quero m a t a r todas as {F_IDENTIDADE_P}., Vou dar um tiro na próxima {F_IDENTIDADE_S_add_espaco} que eu vir., Em um mundo justo, todas essas {F_IDENTIDADE_P} estariam m o r t a s., Essas {F_IDENTIDADE_P_add_espaco} deviam ser queimadas na fogueira., Você não é nada além de uma {F_INSULTO_S_add_espaco}., Comportamento típico de uma {F_INSULTO_S_add_espaco}., F o d a - s e todas as {F_IDENTIDADE_P}., A maioria das {F_IDENTIDADE_P_add_espaco} é seriamente fodida da cabeça."
72,orto_leet_o,"Od3io {IDENTIDADE_P}., Muito cans4do de ficar perto de {IDENTIDADE_P} como você., Você {IDENTIDADE_S} não é nada além de l1xo comum., {IDENTIDADE_P} são um cânc3r., Permitir mais {IDENTIDADE_P_leet} no governo vai arruinar nosso país., Como eu queria que {IDENTIDADE_P_leet} como você tivessem suas gargantas cortadas., {INSULTO_P_leet} demais nesse país., Vidas de {IDENTIDADE_P} não valem m3rda nenhuma."
73,m_orto_leet_o,"{M_IDENTIDADE_P_leet} são os piores., Todos vocês {M_IDENTIDADE_P_leet} são desonestos., Ninguém é tão imund0 quanto esses {M_IDENTIDADE_P}., Típico de um {M_IDENTIDADE_S} ser tão estúpid0 assim., Você e todos os outros {M_IDENTIDADE_P_leet} são uma praga para a sociedade., Todos os {M_IDENTIDADE_P_leet} deviam ser trancados em jaulas., Quero m4tar todos os {M_IDENTIDADE_P}., M0rte a todos os {M_IDENTIDADE_P}., Alguém devia só dar uma f4cada nesses {M_IDENTIDADE_P}., Você não é nada além de um {M_INSULTO_S_leet}., Comportamento típico de um {M_INSULTO_S_leet}., Todos os {M_IDENTIDADE_P} são completos cuz0es."
74,f_orto_leet_o,"{F_IDENTIDADE_P_leet} são as piores., Todas vocês {F_IDENTIDADE_P_leet} são desonestas., Ninguém é tão imund0 quanto essas {F_IDENTIDADE_P}., Típico de uma {F_IDENTIDADE_S} ser tão estúpid4 assim., Você e todas as outras {F_IDENTIDADE_P_leet} são uma praga para a sociedade., Todas as {F_IDENTIDADE_P_leet} deviam ser trancadas em jaulas., Quero m4tar todas as {F_IDENTIDADE_P}., M0rte à todas as {F_IDENTIDADE_P}., Alguém devia só dar uma f4cada nessas {F_IDENTIDADE_P}., Você não é nada além de uma {F_INSULTO_S_leet}., Comportamento típico de uma {F_INSULTO_S_leet}., Todas as {F_IDENTIDADE_P} são completas cuz0nas."
